model	os_cox_logrank_p	os_cindex	pfs_cox_logrank_p	pfs_cindex	rnr_roc_p	rnr_roc
1	CD274	0.300386677836871	0.538865776220714	0.715911701182997	0.508551438196424	0.33	0.522
2	GEP	0.00423280584404925	0.582110794832494	0.0403970290786167	0.563876651982379	0.113	0.56
3	IMPRES	0.035035664913027	0.57110794832494	0.0351883609196319	0.576055973050013	0.162	0.548
4	TIDE	0.0129202550599974	0.602474271950952	0.0146353875169466	0.60002591344908	0.002042	0.642
5	CYT	0.0111813802722974	0.576034596014889	0.0672878645904707	0.558434827675564	0.11	0.561
6	TCB	7.7971031687549e-05	0.614955112765492	0.00680514138166591	0.583570873283234	0.001039	0.653
7	BCB	0.00891473148811593	0.59108824173418	0.00238596740599439	0.568800207307593	0.02173	0.6
8	MHC II	4.66917731299273e-05	0.582110794832494	0.000757677787286689	0.550660792951542	0.057	0.579
9	MAP4K1+TBX3	6.07657358712436e-07	0.657105320779505	0.00119230144086056	0.628142005700959	1.43e-05	0.708
10	MAP4K1+AGER	1.83424420368878e-07	0.661813006349901	0.0019710586796737	0.615962684633325	1.13e-05	0.71
11	High OS genes+Low OS genes	3.52450220842176e-10	0.709765710532078	0.000641330924035625	0.630215081627365	5.62e-06	0.718
