Chromosome	Start	End	Gene	Strand	Gene.id	Gene.Type	Gene.Status	entrez_id
ENSG00000186092.4	1	69091	70008	OR4F5	+	ENSG00000186092.4	protein_coding	KNOWN	79501
ENSG00000237683.5	1	134901	139379	AL627309.1	-	ENSG00000237683.5	protein_coding	KNOWN	NA
ENSG00000235249.1	1	367640	368634	OR4F29	+	ENSG00000235249.1	protein_coding	KNOWN	NA
ENSG00000185097.2	1	621059	622053	OR4F16	-	ENSG00000185097.2	protein_coding	KNOWN	NA
ENSG00000187634.6	1	860260	879583	SAMD11	+	ENSG00000187634.6	protein_coding	KNOWN	148398
ENSG00000268179.1	1	861264	865996	AL645608.1	-	ENSG00000268179.1	protein_coding	NOVEL	NA
ENSG00000188976.6	1	879956	894689	NOC2L	-	ENSG00000188976.6	protein_coding	KNOWN	26155
ENSG00000187961.9	1	895967	901095	KLHL17	+	ENSG00000187961.9	protein_coding	KNOWN	339451
ENSG00000187583.6	1	901877	910488	PLEKHN1	+	ENSG00000187583.6	protein_coding	KNOWN	84069
ENSG00000187642.5	1	910579	917497	C1orf170	-	ENSG00000187642.5	protein_coding	KNOWN	84808
ENSG00000188290.6	1	934342	935552	HES4	-	ENSG00000188290.6	protein_coding	KNOWN	57801
ENSG00000187608.5	1	948803	949920	ISG15	+	ENSG00000187608.5	protein_coding	KNOWN	9636
ENSG00000188157.9	1	955503	991277	AGRN	+	ENSG00000188157.9	protein_coding	KNOWN	375790
ENSG00000237330.2	1	1006346	1009687	RNF223	-	ENSG00000237330.2	protein_coding	KNOWN	401934
ENSG00000131591.13	1	1017198	1051741	C1orf159	-	ENSG00000131591.13	protein_coding	KNOWN	54991
ENSG00000162571.9	1	1114569	1133315	TTLL10	+	ENSG00000162571.9	protein_coding	KNOWN	254173
ENSG00000186891.9	1	1138888	1142071	TNFRSF18	-	ENSG00000186891.9	protein_coding	KNOWN	8784
ENSG00000186827.6	1	1146706	1149512	TNFRSF4	-	ENSG00000186827.6	protein_coding	KNOWN	7293
ENSG00000078808.12	1	1152288	1167411	SDF4	-	ENSG00000078808.12	protein_coding	KNOWN	51150
ENSG00000176022.3	1	1167629	1170421	B3GALT6	+	ENSG00000176022.3	protein_coding	KNOWN	126792
ENSG00000184163.3	1	1177833	1182102	FAM132A	-	ENSG00000184163.3	protein_coding	KNOWN	388581
ENSG00000160087.16	1	1189289	1209265	UBE2J2	-	ENSG00000160087.16	protein_coding	KNOWN	118424
ENSG00000162572.15	1	1215816	1227409	SCNN1D	+	ENSG00000162572.15	protein_coding	KNOWN	6339
ENSG00000131584.14	1	1227756	1243398	ACAP3	-	ENSG00000131584.14	protein_coding	KNOWN	116983
ENSG00000169972.7	1	1243947	1246976	PUSL1	+	ENSG00000169972.7	protein_coding	KNOWN	126789
ENSG00000127054.14	1	1247058	1260071	CPSF3L	-	ENSG00000127054.14	protein_coding	KNOWN	54973
ENSG00000224051.2	1	1260136	1264277	GLTPD1	+	ENSG00000224051.2	protein_coding	KNOWN	80772
ENSG00000169962.4	1	1266694	1270655	TAS1R3	+	ENSG00000169962.4	protein_coding	KNOWN	83756
ENSG00000107404.13	1	1270687	1284730	DVL1	-	ENSG00000107404.13	protein_coding	KNOWN	1855
ENSG00000162576.12	1	1288071	1297157	MXRA8	-	ENSG00000162576.12	protein_coding	KNOWN	54587
ENSG00000175756.9	1	1309110	1310875	AURKAIP1	-	ENSG00000175756.9	protein_coding	KNOWN	54998
ENSG00000221978.7	1	1321862	1334708	CCNL2	-	ENSG00000221978.7	protein_coding	KNOWN	81669
ENSG00000224870.3	1	1334902	1337287	RP4-758J18.2	+	ENSG00000224870.3	protein_coding	NOVEL	148413
ENSG00000242485.1	1	1337427	1342693	MRPL20	-	ENSG00000242485.1	protein_coding	KNOWN	55052
ENSG00000235098.4	1	1353800	1357149	ANKRD65	-	ENSG00000235098.4	protein_coding	KNOWN	441869
ENSG00000205116.3	1	1361508	1363167	TMEM88B	+	ENSG00000205116.3	protein_coding	KNOWN	643965
ENSG00000179403.10	1	1370241	1378262	VWA1	+	ENSG00000179403.10	protein_coding	KNOWN	64856
ENSG00000215915.5	1	1385069	1405538	ATAD3C	+	ENSG00000215915.5	protein_coding	KNOWN	219293
ENSG00000160072.15	1	1407143	1431582	ATAD3B	+	ENSG00000160072.15	protein_coding	KNOWN	83858
ENSG00000197785.9	1	1447531	1470067	ATAD3A	+	ENSG00000197785.9	protein_coding	KNOWN	55210
ENSG00000205090.4	1	1470554	1475833	TMEM240	-	ENSG00000205090.4	protein_coding	KNOWN	339453
ENSG00000160075.10	1	1477053	1510249	SSU72	-	ENSG00000160075.10	protein_coding	KNOWN	29101
ENSG00000215014.3	1	1510355	1511373	AL645728.1	+	ENSG00000215014.3	protein_coding	KNOWN	NA
ENSG00000228594.1	1	1533392	1535476	C1orf233	-	ENSG00000228594.1	protein_coding	KNOWN	643988
ENSG00000197530.8	1	1551259	1565990	MIB2	+	ENSG00000197530.8	protein_coding	KNOWN	142678
ENSG00000189409.8	1	1567474	1570602	MMP23B	+	ENSG00000189409.8	protein_coding	KNOWN	8510
ENSG00000248333.3	1	1570640	1590473	CDK11B	-	ENSG00000248333.3	protein_coding	KNOWN	984
ENSG00000189339.7	1	1592939	1624167	SLC35E2B	-	ENSG00000189339.7	protein_coding	KNOWN	728661
ENSG00000008128.18	1	1634169	1655766	CDK11A	-	ENSG00000008128.18	protein_coding	KNOWN	728642
ENSG00000215790.2	1	1656277	1677431	SLC35E2	-	ENSG00000215790.2	protein_coding	KNOWN	9906
ENSG00000008130.11	1	1682671	1711896	NADK	-	ENSG00000008130.11	protein_coding	KNOWN	65220
ENSG00000078369.13	1	1716729	1822495	GNB1	-	ENSG00000078369.13	protein_coding	KNOWN	2782
ENSG00000169885.5	1	1846266	1848733	CALML6	+	ENSG00000169885.5	protein_coding	KNOWN	163688
ENSG00000178821.8	1	1849029	1850712	TMEM52	-	ENSG00000178821.8	protein_coding	KNOWN	339456
ENSG00000142609.13	1	1853726	1935153	C1orf222	-	ENSG00000142609.13	protein_coding	KNOWN	85452
ENSG00000187730.6	1	1950780	1962192	GABRD	+	ENSG00000187730.6	protein_coding	KNOWN	2563
ENSG00000067606.11	1	1981909	2106752	PRKCZ	+	ENSG00000067606.11	protein_coding	KNOWN	5590
ENSG00000162585.12	1	2115903	2139172	C1orf86	-	ENSG00000162585.12	protein_coding	KNOWN	199990
ENSG00000269554.1	1	2121237	2123179	AL590822.2	+	ENSG00000269554.1	protein_coding	KNOWN	NA
ENSG00000203301.2	1	2143360	2145620	AL590822.1	-	ENSG00000203301.2	protein_coding	NOVEL	NA
ENSG00000157933.9	1	2160134	2241558	SKI	+	ENSG00000157933.9	protein_coding	KNOWN	6497
ENSG00000116151.9	1	2252692	2323146	MORN1	-	ENSG00000116151.9	protein_coding	KNOWN	79906
ENSG00000269753.1	1	2258581	2259042	AL589739.1	+	ENSG00000269753.1	protein_coding	NOVEL	NA
ENSG00000157916.14	1	2323267	2336235	RER1	+	ENSG00000157916.14	protein_coding	KNOWN	11079
ENSG00000157911.5	1	2336884	2345236	PEX10	-	ENSG00000157911.5	protein_coding	KNOWN	5192
ENSG00000149527.13	1	2357419	2436965	PLCH2	+	ENSG00000149527.13	protein_coding	KNOWN	9651
ENSG00000157881.9	1	2439972	2458039	PANK4	-	ENSG00000157881.9	protein_coding	KNOWN	55229
ENSG00000197921.5	1	2460184	2461684	HES5	-	ENSG00000197921.5	protein_coding	KNOWN	388585
ENSG00000157873.13	1	2488136	2496821	TNFRSF14	+	ENSG00000157873.13	protein_coding	KNOWN	8764
ENSG00000157870.10	1	2517930	2522908	FAM213B	+	ENSG00000157870.10	protein_coding	KNOWN	127281
ENSG00000142606.11	1	2522996	2564481	MMEL1	-	ENSG00000142606.11	protein_coding	KNOWN	79258
ENSG00000215912.7	1	2567415	2718286	TTC34	-	ENSG00000215912.7	protein_coding	KNOWN	100287898
ENSG00000169717.5	1	2938046	2939465	ACTRT2	+	ENSG00000169717.5	protein_coding	KNOWN	140625
ENSG00000142611.12	1	2985732	3355185	PRDM16	+	ENSG00000142611.12	protein_coding	KNOWN	63976
ENSG00000130762.10	1	3370990	3397677	ARHGEF16	+	ENSG00000130762.10	protein_coding	KNOWN	27237
ENSG00000162591.11	1	3406484	3528059	MEGF6	-	ENSG00000162591.11	protein_coding	KNOWN	1953
ENSG00000158109.10	1	3541566	3546691	TPRG1L	+	ENSG00000158109.10	protein_coding	KNOWN	127262
ENSG00000116213.11	1	3547331	3569325	WRAP73	-	ENSG00000116213.11	protein_coding	KNOWN	49856
ENSG00000078900.10	1	3569084	3652547	TP73	+	ENSG00000078900.10	protein_coding	KNOWN	7161
ENSG00000162592.4	1	3668962	3688209	CCDC27	+	ENSG00000162592.4	protein_coding	KNOWN	148870
ENSG00000235169.3	1	3689352	3692546	SMIM1	+	ENSG00000235169.3	protein_coding	KNOWN	388588
ENSG00000130764.5	1	3696784	3713068	LRRC47	-	ENSG00000130764.5	protein_coding	KNOWN	57470
ENSG00000116198.8	1	3728645	3773778	CEP104	-	ENSG00000116198.8	protein_coding	KNOWN	9731
ENSG00000169598.11	1	3773845	3801993	DFFB	+	ENSG00000169598.11	protein_coding	KNOWN	1677
ENSG00000198912.6	1	3805689	3816849	C1orf174	-	ENSG00000198912.6	protein_coding	KNOWN	339448
ENSG00000196581.6	1	4714792	4852594	AJAP1	+	ENSG00000196581.6	protein_coding	KNOWN	55966
ENSG00000131697.13	1	5922871	6052422	NPHP4	-	ENSG00000131697.13	protein_coding	KNOWN	261734
ENSG00000069424.10	1	6051526	6161253	KCNAB2	+	ENSG00000069424.10	protein_coding	KNOWN	8514
ENSG00000116254.13	1	6161853	6240183	CHD5	-	ENSG00000116254.13	protein_coding	KNOWN	26038
ENSG00000116251.5	1	6241329	6269449	RPL22	-	ENSG00000116251.5	protein_coding	KNOWN	6146
ENSG00000158286.8	1	6266189	6281252	RNF207	+	ENSG00000158286.8	protein_coding	KNOWN	388591
ENSG00000116237.11	1	6281360	6296032	ICMT	-	ENSG00000116237.11	protein_coding	KNOWN	23463
ENSG00000173673.7	1	6304252	6305638	HES3	+	ENSG00000173673.7	protein_coding	KNOWN	390992
ENSG00000158292.6	1	6307406	6321035	GPR153	-	ENSG00000158292.6	protein_coding	KNOWN	387509
ENSG00000097021.15	1	6324329	6453614	ACOT7	-	ENSG00000097021.15	protein_coding	KNOWN	11332
ENSG00000069812.7	1	6472478	6484730	HES2	-	ENSG00000069812.7	protein_coding	KNOWN	54626
ENSG00000187017.10	1	6484848	6521040	ESPN	+	ENSG00000187017.10	protein_coding	KNOWN	83715
